species,elevation,soil_type,sepal_length,sepal_width,petal_length,petal_width,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,sepal_to_petal_length_ratio,sepal_to_petal_width_ratio,sepal_petal_length_diff,sepal_petal_width_diff,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2,sepal_area_sqrt,petal_area_sqrt,area_ratios
virginica,200.2,sandy,6.12,1.91,5.94,2.16,11.6892,12.8304,3.2041884816753927,2.75,1.0303030303030305,0.8842592592592592,0.1799999999999997,-0.2500000000000002,15.21,9.65,71.48,3.41894720637801,3.581954773583832,0.9110549943883276
virginica,73.4,sandy,7.47,2.65,5.97,1.14,19.7955,6.805799999999999,2.818867924528302,5.236842105263158,1.2512562814070352,2.3245614035087723,1.5,1.51,11.18,12.51,77.97,4.449213413627177,2.60879282427716,2.908622057656705
setosa,292.5,loamy,5.05,3.14,1.07,0.47,15.857,0.5029,1.60828025477707,2.276595744680851,4.719626168224298,6.680851063829788,3.98,2.67,4.71,26.55,52.9,3.9820848810641896,0.709154426059656,31.531119506860207
versicolor,70.0,loamy,6.05,2.86,3.86,1.5,17.302999999999997,5.79,2.1153846153846154,2.5733333333333333,1.567357512953368,1.9066666666666665,2.19,1.36,7.28,14.83,61.39,4.159687488261588,2.406241883103193,2.9884283246977543
versicolor,245.1,clay,6.39,2.98,4.78,1.84,19.0422,8.795200000000001,2.1442953020134228,2.597826086956522,1.3368200836820083,1.6195652173913042,1.6099999999999994,1.14,8.47,17.54,62.0,4.363736930659317,2.9656702446495973,2.165067309441513
versicolor,164.8,loamy,6.28,2.87,3.9,1.12,18.0236,4.368,2.1881533101045294,3.4821428571428568,1.6102564102564103,2.5625,2.3800000000000003,1.75,6.16,13.19,58.89,4.245421062745131,2.089976076418101,4.126282051282051
versicolor,133.0,sandy,5.94,2.12,3.52,1.28,12.592800000000002,4.5056,2.80188679245283,2.75,1.6875,1.65625,2.4200000000000004,0.8400000000000001,8.87,12.63,52.08,3.548633539829099,2.122639865827456,2.7949218750000004
virginica,286.4,clay,6.16,3.63,4.44,2.55,22.3608,11.322,1.696969696969697,1.7411764705882355,1.3873873873873872,1.423529411764706,1.7199999999999998,1.08,12.1,10.33,79.09,4.728720757245029,3.3648179742743887,1.97498675145734
virginica,205.4,loamy,7.17,3.0,5.6,2.01,21.51,11.255999999999998,2.39,2.7860696517412937,1.280357142857143,1.492537313432836,1.5700000000000005,0.9900000000000002,12.88,9.52,62.61,4.637887450122092,3.354996274215517,1.9109808102345416
versicolor,126.1,loamy,5.73,2.8,4.92,1.45,16.044,7.134,2.046428571428572,3.393103448275862,1.1646341463414636,1.9310344827586208,0.8100000000000005,1.35,7.45,16.02,63.3,4.0054962239403,2.6709548854295537,2.248948696383516
setosa,68.1,sandy,6.36,3.16,1.7,0.26,20.097600000000003,0.442,2.0126582278481013,6.538461538461538,3.741176470588236,12.153846153846152,4.66,2.9000000000000004,5.01,18.78,50.43,4.483034686459609,0.6648308055437865,45.46968325791856
setosa,69.4,sandy,5.11,3.14,1.77,0.26,16.0454,0.4602,1.627388535031847,6.807692307692308,2.8870056497175143,12.076923076923077,3.3400000000000003,2.88,4.96,17.84,45.91,4.005670979998232,0.6783804242458652,34.86614515428075
